# Program:featureCounts v2.0.2; Command:"featureCounts" "-a" "reference/GCF_000013465.1_ASM1346v1_genomic.gff" "-o" "counts/gene_counts.txt" "-t" "gene" "-g" "locus_tag" "-p" "-T" "4" "alignments/C1.sorted.bam" "alignments/C2.sorted.bam" "alignments/C3.sorted.bam" "alignments/E1.sorted.bam" "alignments/E2.sorted.bam" "alignments/E3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/C1.sorted.bam	alignments/C2.sorted.bam	alignments/C3.sorted.bam	alignments/E1.sorted.bam	alignments/E2.sorted.bam	alignments/E3.sorted.bam
SAUSA300_RS07855	NC_007793.1	1590733	1591938	+	1206	695	349	732	224	217	168
SAUSA300_RS07865	NC_007793.1	1594000	1594929	-	930	228	134	217	68	66	41
SAUSA300_RS07870	NC_007793.1	1595174	1596925	-	1752	6850	3990	9983	2630	2386	2866
SAUSA300_RS07875	NC_007793.1	1596906	1597631	-	726	7903	5119	18224	2902	2519	3028
SAUSA300_RS07880	NC_007793.1	1597764	1598501	-	738	4246	2207	5191	2007	1850	1899
SAUSA300_RS07885	NC_007793.1	1598494	1599036	-	543	2356	1187	2809	1160	950	1000
SAUSA300_RS07890	NC_007793.1	1599029	1599760	-	732	3125	1621	3714	1560	1226	1465
SAUSA300_RS07895	NC_007793.1	1599852	1600358	+	507	298	171	399	426	309	364
SAUSA300_RS07900	NC_007793.1	1600436	1601323	-	888	2478	1221	3653	10394	7585	10069
SAUSA300_RS07905	NC_007793.1	1601372	1601821	-	450	2717	1498	4811	6280	4996	6314
SAUSA300_RS07910	NC_007793.1	1601926	1602468	-	543	503	275	604	407	289	366
SAUSA300_RS07915	NC_007793.1	1602550	1603458	+	909	2016	1277	2522	4340	3870	4250
SAUSA300_RS07920	NC_007793.1	1603674	1603922	-	249	194	99	194	104	48	70
SAUSA300_RS07925	NC_007793.1	1603938	1604693	-	756	532	327	487	280	116	161
SAUSA300_RS07930	NC_007793.1	1604835	1605650	+	816	713	455	1270	1474	1159	1275
SAUSA300_RS07935	NC_007793.1	1605755	1606675	-	921	2324	1306	3306	284	151	214
SAUSA300_RS07940	NC_007793.1	1606988	1608472	+	1485	7358	4232	12184	19507	13721	17119
SAUSA300_RS07945	NC_007793.1	1608702	1609568	+	867	3487	2136	4735	5222	4515	4460
SAUSA300_RS07950	NC_007793.1	1609651	1611300	-	1650	1601	1007	4436	2161	2342	1706
SAUSA300_RS07955	NC_007793.1	1611316	1612335	-	1020	767	589	2364	313	284	203
SAUSA300_RS07960	NC_007793.1	1612336	1612590	-	255	33	13	28	9	6	7
SAUSA300_RS07965	NC_007793.1	1612529	1612900	-	372	1440	867	2311	2796	2352	3137
SAUSA300_RS07970	NC_007793.1	1613119	1614525	-	1407	22873	13654	30118	26206	25679	26138
SAUSA300_RS07975	NC_007793.1	1614593	1615726	-	1134	1795	1037	1780	2749	2645	2425
SAUSA300_RS07980	NC_007793.1	1615989	1616168	+	180	281	222	350	221	197	198
SAUSA300_RS07985	NC_007793.1	1616295	1617275	-	981	2173	1295	2368	2637	2313	2514
SAUSA300_RS07990	NC_007793.1	1617289	1617726	-	438	987	525	1156	1367	1097	1168
SAUSA300_RS07995	NC_007793.1	1618077	1619351	-	1275	9232	5442	11795	7866	8579	8676
SAUSA300_RS08000	NC_007793.1	1619364	1620347	-	984	6042	3216	7733	5525	5837	6092
SAUSA300_RS08005	NC_007793.1	1620347	1621339	-	993	6228	3422	7529	6032	6248	6363
SAUSA300_RS08010	NC_007793.1	1621355	1622776	-	1422	8132	4161	8601	7913	7512	7710
SAUSA300_RS08015	NC_007793.1	1622927	1624606	-	1680	7815	4193	8262	5953	4798	5687
SAUSA300_RS08020	NC_007793.1	1624622	1625074	-	453	1938	1260	2685	1516	1189	1424
SAUSA300_RS08025	NC_007793.1	1625506	1626387	-	882	10909	6524	14258	1968	1600	1861
SAUSA300_RS08030	NC_007793.1	1626365	1626595	-	231	1746	1000	2086	337	222	254
SAUSA300_RS08035	NC_007793.1	1626588	1627925	-	1338	14771	8178	17150	2817	2162	2749
SAUSA300_RS08040	NC_007793.1	1627942	1628331	-	390	5551	3347	6863	1412	1134	1434
SAUSA300_RS08045	NC_007793.1	1628391	1628753	-	363	4394	2427	5401	1030	885	958
SAUSA300_RS08050	NC_007793.1	1628768	1630123	-	1356	12955	7246	16371	1768	1344	1579
SAUSA300_RS08055	NC_007793.1	1630123	1630587	-	465	5595	3159	6308	618	432	481
SAUSA300_RS08060	NC_007793.1	1630942	1631478	-	537	2354	1389	2751	2274	2269	2034
SAUSA300_RS08065	NC_007793.1	1631459	1631962	-	504	1922	1111	2211	1703	1794	1567
SAUSA300_RS08070	NC_007793.1	1632071	1632427	-	357	1512	858	1948	1601	1816	1398
SAUSA300_RS08075	NC_007793.1	1632483	1633073	-	591	52	28	45	123	127	69
SAUSA300_RS08080	NC_007793.1	1633080	1634126	-	1047	39	28	76	86	42	26
SAUSA300_RS08085	NC_007793.1	1634116	1635963	-	1848	381	194	430	368	356	384
SAUSA300_RS08090	NC_007793.1	1635968	1637326	-	1359	61	38	57	71	54	48
SAUSA300_RS08095	NC_007793.1	1637380	1639875	-	2496	460	231	492	313	274	222
SAUSA300_RS08100	NC_007793.1	1639910	1640293	-	384	104	37	75	83	62	76
SAUSA300_RS08105	NC_007793.1	1640305	1640565	-	261	95	46	76	76	61	51
SAUSA300_RS08110	NC_007793.1	1640570	1641625	-	1056	186	112	158	131	104	103
SAUSA300_RS08115	NC_007793.1	1641686	1642777	-	1092	287	157	246	146	138	150
SAUSA300_RS08120	NC_007793.1	1642952	1643254	-	303	79	29	109	89	94	75
SAUSA300_RS08125	NC_007793.1	1643268	1643588	-	321	71	48	75	93	94	77
SAUSA300_RS08130	NC_007793.1	1643739	1644023	-	285	32	10	37	42	26	41
SAUSA300_RS08135	NC_007793.1	1644418	1644975	-	558	18154	10987	28944	7368	7140	7976
SAUSA300_RS08140	NC_007793.1	1645001	1646062	-	1062	2873	1671	3296	2493	1875	2127
SAUSA300_RS08145	NC_007793.1	1646167	1646748	+	582	1044	627	1248	646	481	422
SAUSA300_RS08150	NC_007793.1	1646762	1646980	+	219	255	162	326	174	165	115
SAUSA300_RS08155	NC_007793.1	1647044	1647874	-	831	2085	1338	2846	1930	1840	1782
SAUSA300_RS08160	NC_007793.1	1648032	1648418	+	387	3720	2167	4847	2642	2356	2601
SAUSA300_RS08165	NC_007793.1	1648783	1650255	-	1473	8798	5101	10593	42804	40230	45619
SAUSA300_RS08170	NC_007793.1	1650248	1651594	-	1347	6702	3737	7345	32730	29601	32660
SAUSA300_RS08175	NC_007793.1	1651614	1652705	-	1092	4318	2263	4544	18919	17502	18061
SAUSA300_RS08180	NC_007793.1	1652864	1653388	-	525	1519	935	2404	3711	3298	4087
SAUSA300_RS08185	NC_007793.1	1653378	1653524	-	147	13	4	10	5	1	1
SAUSA300_RS08190	NC_007793.1	1653621	1654118	-	498	55	34	67	18	21	1
SAUSA300_RS08195	NC_007793.1	1654036	1654335	-	300	24	16	30	4	14	5
SAUSA300_RS08200	NC_007793.1	1654322	1654768	-	447	30	33	39	10	5	3
SAUSA300_RS08205	NC_007793.1	1654746	1655057	-	312	24	18	41	11	11	1
SAUSA300_RS08210	NC_007793.1	1655071	1656141	-	1071	173	95	137	53	33	24
SAUSA300_RS08215	NC_007793.1	1656113	1657087	-	975	447	259	387	126	85	49
SAUSA300_RS08220	NC_007793.1	1657139	1657762	-	624	4399	2439	4995	2017	1961	1847
SAUSA300_RS08225	NC_007793.1	1657759	1658088	-	330	1807	1028	1756	786	679	656
SAUSA300_RS08230	NC_007793.1	1658088	1659074	-	987	5691	2871	5499	1828	1646	1441
SAUSA300_RS08235	NC_007793.1	1659071	1659274	-	204	685	308	504	148	156	124
SAUSA300_RS08240	NC_007793.1	1659255	1660718	-	1464	4874	2635	5593	1191	986	970
SAUSA300_RS08245	NC_007793.1	1660730	1661269	-	540	1358	860	1831	178	140	187
SAUSA300_RS08250	NC_007793.1	1661478	1661627	-	150	11000	7545	19309	901	820	783
SAUSA300_RS08255	NC_007793.1	1661740	1663815	-	2076	6039	3478	5703	3929	3319	2862
SAUSA300_RS08260	NC_007793.1	1663936	1664535	-	600	17671	10955	20996	117081	111308	122229
SAUSA300_RS08265	NC_007793.1	1664812	1665222	-	411	814	495	1073	1136	843	1078
SAUSA300_RS08270	NC_007793.1	1665209	1666072	-	864	2003	1030	2435	2566	1874	2614
SAUSA300_RS08275	NC_007793.1	1666114	1666899	-	786	1918	982	2186	2303	1773	2346
SAUSA300_RS08280	NC_007793.1	1667025	1667915	-	891	7940	4710	11022	1738	1477	1683
SAUSA300_RS08285	NC_007793.1	1667925	1669271	-	1347	9607	5688	12054	2213	1777	1997
SAUSA300_RS08290	NC_007793.1	1669385	1670485	-	1101	4833	2592	5660	2584	2767	2742
SAUSA300_RS08295	NC_007793.1	1670488	1671165	-	678	2975	1639	2876	1333	1471	1435
SAUSA300_RS08300	NC_007793.1	1671296	1672402	-	1107	18334	9405	21555	8330	8652	8791
SAUSA300_RS08305	NC_007793.1	1672626	1674425	-	1800	17852	8915	16124	8899	7596	8344
SAUSA300_RS08310	NC_007793.1	1674486	1675304	-	819	1557	1040	2677	2101	1999	1863
SAUSA300_RS08315	NC_007793.1	1675315	1675938	-	624	1001	589	1752	1011	931	963
SAUSA300_RS08320	NC_007793.1	1676273	1677664	+	1392	12388	7434	16991	8988	8110	8689
SAUSA300_RS08325	NC_007793.1	1677814	1678560	-	747	3083	1953	4171	2699	2819	2537
SAUSA300_RS08330	NC_007793.1	1678588	1679487	-	900	5156	2913	6616	4177	4157	3919
SAUSA300_RS08335	NC_007793.1	1679488	1679892	-	405	2008	950	2370	1163	1215	1226
SAUSA300_RS08340	NC_007793.1	1679903	1680247	-	345	1338	711	1426	770	692	667
SAUSA300_RS08345	NC_007793.1	1680250	1680717	-	468	2213	1262	3017	1171	960	1172
SAUSA300_RS08350	NC_007793.1	1680718	1681665	-	948	4159	2427	5827	1723	1358	1708
SAUSA300_RS08355	NC_007793.1	1681969	1682667	-	699	17246	9959	22573	33179	32785	34882
SAUSA300_RS08360	NC_007793.1	1682684	1683673	-	990	17429	9516	22279	34015	34111	37108
SAUSA300_RS08365	NC_007793.1	1683691	1684374	-	684	14210	7911	18538	25065	24115	25955
SAUSA300_RS08370	NC_007793.1	1684618	1684794	-	177	24289	14854	54382	7619	6849	8752
SAUSA300_RS08375	NC_007793.1	1685087	1686433	-	1347	11454	5580	13319	8309	8385	9052
SAUSA300_RS08380	NC_007793.1	1686440	1687192	-	753	2396	1255	2579	4076	4343	4290
SAUSA300_RS08385	NC_007793.1	1687194	1688132	-	939	5159	2328	4261	23913	29929	25297
SAUSA300_RS08390	NC_007793.1	1688136	1689275	-	1140	5116	2303	4120	26215	31219	24909
SAUSA300_RS08395	NC_007793.1	1689411	1691243	-	1833	15651	8199	15400	248389	308673	240550
SAUSA300_RS08400	NC_007793.1	1691312	1691938	-	627	4777	2435	4239	58201	66441	51363
SAUSA300_RS08405	NC_007793.1	1691970	1692947	-	978	4934	2597	4220	59263	69811	49236
SAUSA300_RS08410	NC_007793.1	1693047	1694171	-	1125	1736	1012	1825	738	627	732
SAUSA300_RS08420	NC_007793.1	1694734	1696557	-	1824	10865	5720	11636	2995	2481	2497
SAUSA300_RS08425	NC_007793.1	1696903	1697154	+	252	16081	11082	30680	4263	3601	4256
SAUSA300_RS08430	NC_007793.1	1697199	1698173	-	975	3494	1666	4108	1063	928	1141
SAUSA300_RS08435	NC_007793.1	1698230	1700431	-	2202	1071	555	1000	532	383	377
SAUSA300_RS08440	NC_007793.1	1700436	1700897	-	462	942	536	1265	2352	2347	2453
SAUSA300_RS08445	NC_007793.1	1700989	1701675	-	687	633	386	878	852	728	795
SAUSA300_RS08450	NC_007793.1	1701715	1702431	-	717	6413	3571	8160	3721	3588	4339
SAUSA300_RS08455	NC_007793.1	1702434	1702787	-	354	3128	1779	3958	2122	1792	2111
SAUSA300_RS08460	NC_007793.1	1702788	1703372	-	585	4774	2730	5764	1539	1444	1509
SAUSA300_RS08465	NC_007793.1	1703362	1703931	-	570	5457	3212	5636	1154	1095	1085
SAUSA300_RS08470	NC_007793.1	1703934	1704224	-	291	1509	694	1459	288	313	273
SAUSA300_RS08475	NC_007793.1	1704228	1705034	-	807	4446	2243	4807	867	853	831
SAUSA300_RS08480	NC_007793.1	1705048	1706148	-	1101	6290	3084	6918	1492	1355	1308
SAUSA300_RS08485	NC_007793.1	1706149	1706676	-	528	2578	1365	2763	645	556	638
SAUSA300_RS08490	NC_007793.1	1706696	1707382	-	687	2847	1463	3316	601	541	570
SAUSA300_RS08500	NC_007793.1	1707696	1707965	+	270	67	48	69	136	116	102
SAUSA300_RS08505	NC_007793.1	1708167	1708919	-	753	77	50	68	156	78	84
SAUSA300_RS08510	NC_007793.1	1709333	1710553	-	1221	392	219	424	542	551	342
SAUSA300_RS08515	NC_007793.1	1710842	1712071	-	1230	451	255	600	297	322	327
SAUSA300_RS08520	NC_007793.1	1712084	1712836	-	753	309	177	410	155	147	164
SAUSA300_RS08525	NC_007793.1	1712836	1714197	-	1362	712	406	958	353	346	310
SAUSA300_RS08530	NC_007793.1	1714211	1714660	-	450	308	160	389	115	101	112
SAUSA300_RS08535	NC_007793.1	1714662	1715672	-	1011	676	351	976	201	183	230
SAUSA300_RS08540	NC_007793.1	1715662	1716396	-	735	509	296	850	158	99	134
SAUSA300_RS08545	NC_007793.1	1716722	1717198	-	477	7541	3990	9959	4598	4946	5515
SAUSA300_RS08550	NC_007793.1	1717226	1717849	-	624	7821	4088	9399	4262	4100	4481
SAUSA300_RS08555	NC_007793.1	1717849	1719117	-	1269	10909	5630	12064	5123	5413	5120
SAUSA300_RS08560	NC_007793.1	1719129	1720052	-	924	6212	2912	5469	2556	2556	2368
SAUSA300_RS08565	NC_007793.1	1720055	1720693	-	639	3470	1569	2455	942	840	794
SAUSA300_RS08570	NC_007793.1	1720978	1721286	-	309	7493	4241	9016	4659	4684	5487
SAUSA300_RS08575	NC_007793.1	1721301	1721729	-	429	7253	4611	8568	5553	4686	6011
SAUSA300_RS08580	NC_007793.1	1721733	1721993	-	261	4894	2853	5270	3584	3288	4091
SAUSA300_RS08585	NC_007793.1	1722056	1724686	-	2631	20508	12594	22395	3804	3675	4452
SAUSA300_RS08590	NC_007793.1	1725029	1727506	-	2478	10248	5477	9784	1759	1466	1526
SAUSA300_RS08595	NC_007793.1	1727508	1728176	-	669	1667	835	1601	218	123	138
SAUSA300_RS08600	NC_007793.1	1728638	1729756	-	1119	5915	3342	6949	3761	3187	3444
SAUSA300_RS08605	NC_007793.1	1729757	1730899	-	1143	4488	2282	4161	2598	1773	2170
SAUSA300_RS08610	NC_007793.1	1731211	1732224	+	1014	404	242	532	4607	3202	5367
SAUSA300_RS08615	NC_007793.1	1732461	1732607	-	147	2448	1592	3199	5137	5213	4825
SAUSA300_RS08620	NC_007793.1	1732647	1732829	-	183	3300	2209	4782	6631	6142	6165
SAUSA300_RS08625	NC_007793.1	1732929	1733351	-	423	2460	1581	3634	1987	1603	2028
SAUSA300_RS08630	NC_007793.1	1733436	1734710	+	1275	4119	2775	6700	2710	2606	2634
SAUSA300_RS08635	NC_007793.1	1734871	1735644	-	774	3494	2094	4956	3515	3437	3475
SAUSA300_RS08640	NC_007793.1	1735644	1735772	-	129	158	98	170	202	207	168
SAUSA300_RS15370	NC_007793.1	1735837	1736027	-	191	24411	16619	57420	76680	111245	122797
SAUSA300_RS08645	NC_007793.1	1736105	1737871	-	1767	12355	7307	15010	4707	4368	4519
SAUSA300_RS08650	NC_007793.1	1737887	1739149	-	1263	4536	2624	4730	1630	1405	1364
SAUSA300_RS08655	NC_007793.1	1739610	1740485	-	876	4312	2196	3787	1764	1542	1655
SAUSA300_RS08660	NC_007793.1	1740482	1740934	-	453	2855	1658	3207	1726	1598	1638
SAUSA300_RS08665	NC_007793.1	1740946	1743135	-	2190	9354	4933	10108	4555	3813	3986
SAUSA300_RS08670	NC_007793.1	1743563	1744081	-	519	3049	1789	3891	580	443	446
SAUSA300_RS08675	NC_007793.1	1744103	1746376	-	2274	7202	4102	7418	834	740	649
SAUSA300_RS08680	NC_007793.1	1746579	1748858	-	2280	16530	9038	19448	3411	2792	3420
SAUSA300_RS08685	NC_007793.1	1749133	1749393	-	261	6675	3900	9265	3023	2774	3190
SAUSA300_RS08690	NC_007793.1	1749412	1750551	-	1140	21844	11486	23581	7029	6091	6726
SAUSA300_RS08695	NC_007793.1	1750574	1751599	-	1026	8791	4607	9909	1709	1540	1542
SAUSA300_RS08700	NC_007793.1	1751601	1752605	-	1005	8718	4386	9627	1771	1741	1644
SAUSA300_RS08705	NC_007793.1	1752637	1753239	-	603	4865	2513	5616	1091	1077	976
SAUSA300_RS08710	NC_007793.1	1753253	1753708	-	456	2845	1415	3669	768	828	705
SAUSA300_RS08715	NC_007793.1	1753721	1755013	-	1293	11208	5441	12809	2345	2263	2069
SAUSA300_RS08720	NC_007793.1	1755368	1755652	-	285	33513	17537	55114	4745	4289	5165
SAUSA300_RS08725	NC_007793.1	1755664	1755984	-	321	27468	14403	36502	2192	1936	2262
SAUSA300_RS08730	NC_007793.1	1755990	1756298	-	309	49919	27678	66551	3842	3173	3584
SAUSA300_RS08735	NC_007793.1	1756465	1756995	-	531	1714	925	1864	744	630	549
SAUSA300_RS08740	NC_007793.1	1756995	1757837	-	843	2948	1623	3245	1089	1008	990
SAUSA300_RS08745	NC_007793.1	1758037	1758156	-	120	314	246	448	241	244	274
SAUSA300_RS08750	NC_007793.1	1758230	1758703	-	474	673	546	949	514	707	699
SAUSA300_RS15375	NC_007793.1	1758863	1759060	+	198	279	183	381	189	151	217
SAUSA300_RS08755	NC_007793.1	1759177	1759461	-	285	1256	818	2243	733	699	867
SAUSA300_RS08760	NC_007793.1	1759529	1760215	-	687	161	93	161	110	33	42
SAUSA300_RS08765	NC_007793.1	1760212	1760919	-	708	132	78	145	36	5	4
SAUSA300_RS08775	NC_007793.1	1761189	1762460	-	1272	12562	7018	14584	6044	6301	6064
SAUSA300_RS08780	NC_007793.1	1762473	1765103	-	2631	23181	12503	24836	9487	9728	8621
SAUSA300_RS08785	NC_007793.1	1765506	1766066	+	561	1194	683	1911	1818	1571	1661
SAUSA300_RS08790	NC_007793.1	1766289	1767362	-	1074	2115	1336	2969	5391	5788	5510
SAUSA300_RS08795	NC_007793.1	1767396	1767497	-	102	213	110	269	542	624	542
SAUSA300_RS08800	NC_007793.1	1767558	1768844	-	1287	7976	4877	10572	5289	5087	4860
SAUSA300_RS08805	NC_007793.1	1768892	1769866	-	975	3451	1875	4435	1935	1906	1832
SAUSA300_RS08810	NC_007793.1	1769869	1770537	-	669	2101	1222	2407	549	448	448
SAUSA300_RS08815	NC_007793.1	1770559	1771485	-	927	6386	3570	6987	902	727	672
SAUSA300_RS08820	NC_007793.1	1771527	1772342	-	816	4984	2546	4789	668	573	510
SAUSA300_RS08825	NC_007793.1	1772364	1773710	-	1347	28007	15993	40615	4800	3992	4464
SAUSA300_RS08830	NC_007793.1	1773927	1774517	-	591	3042	1727	3463	1042	802	714
SAUSA300_RS08835	NC_007793.1	1774671	1775933	-	1263	25701	13968	35453	21363	17849	20524
SAUSA300_RS08840	NC_007793.1	1776084	1777385	-	1302	48196	26848	64475	16324	15030	15203
SAUSA300_RS08845	NC_007793.1	1777433	1777543	-	111	425	284	379	133	149	134
SAUSA300_RS08850	NC_007793.1	1777548	1778477	-	930	3594	2081	4463	625	520	509
SAUSA300_RS08855	NC_007793.1	1778496	1779104	-	609	2478	1289	3044	365	234	220
SAUSA300_RS08865	NC_007793.1	1779246	1779602	-	357	34635	19493	55756	2089	1780	2001
SAUSA300_RS08870	NC_007793.1	1779649	1779849	-	201	27912	15797	37353	1532	1097	1624
SAUSA300_RS08875	NC_007793.1	1779878	1780405	-	528	49223	27096	71263	2640	2054	2802
SAUSA300_RS08880	NC_007793.1	1780634	1782127	-	1494	5051	2527	5368	1085	1114	870
SAUSA300_RS08885	NC_007793.1	1782553	1784490	-	1938	13293	7783	15917	4536	4510	4316
SAUSA300_RS08890	NC_007793.1	1784688	1784810	-	123	7919	5054	14184	3596	2801	3691
SAUSA300_RS08895	NC_007793.1	1784903	1785823	-	921	5964	3438	7165	1902	1811	1965
SAUSA300_RS08900	NC_007793.1	1785823	1787223	-	1401	5953	3496	8063	1873	1644	1690
SAUSA300_RS08905	NC_007793.1	1787224	1787694	-	471	2269	1418	4219	850	753	776
SAUSA300_RS08910	NC_007793.1	1787904	1788929	-	1026	2171	1212	4779	1037	860	1095
SAUSA300_RS08915	NC_007793.1	1789099	1789722	-	624	2635	1407	2557	5095	5230	5440
SAUSA300_RS08920	NC_007793.1	1789738	1790610	-	873	2409	1220	2089	4340	4500	4271
SAUSA300_RS08925	NC_007793.1	1790626	1793256	-	2631	4162	2317	5482	9570	9124	9411
SAUSA300_RS08930	NC_007793.1	1793550	1795037	-	1488	444	263	574	188	128	98
SAUSA300_RS08935	NC_007793.1	1795536	1797197	-	1662	1994	1215	2534	4036	3551	3371
SAUSA300_RS08940	NC_007793.1	1797197	1797901	-	705	692	425	1285	1302	1115	797
SAUSA300_RS08950	NC_007793.1	1798291	1799559	-	1269	3076	1664	4429	40750	46394	39627
SAUSA300_RS08955	NC_007793.1	1799608	1800729	-	1122	2136	1159	3986	22293	23789	20640
SAUSA300_RS08960	NC_007793.1	1801077	1802438	+	1362	11177	6872	17033	2549	1718	2663
SAUSA300_RS08975	NC_007793.1	1804763	1806520	-	1758	40638	24243	47988	18845	21103	18883
SAUSA300_RS08980	NC_007793.1	1806542	1807510	-	969	10785	6360	11225	5390	5436	5042
SAUSA300_RS08985	NC_007793.1	1807779	1808723	-	945	7565	3843	7641	2068	2116	2105
SAUSA300_RS08990	NC_007793.1	1808723	1809580	-	858	5809	3254	6049	1817	1710	1628
SAUSA300_RS08995	NC_007793.1	1809775	1811004	-	1230	6088	2995	5257	1391	1358	1272
SAUSA300_RS09000	NC_007793.1	1811454	1814651	-	3198	10475	5872	12910	11131	11899	11150
SAUSA300_RS09005	NC_007793.1	1814672	1815613	-	942	3109	1655	4361	3129	3018	3133
SAUSA300_RS09010	NC_007793.1	1815874	1817172	-	1299	3506	2058	4968	3641	3358	3867
SAUSA300_RS09015	NC_007793.1	1817377	1817790	+	414	5248	3173	6987	5753	6731	6040
SAUSA300_RS09020	NC_007793.1	1818095	1818784	-	690	2182	1289	3127	6149	7946	5789
SAUSA300_RS09025	NC_007793.1	1818959	1820014	+	1056	1836	1089	2176	4452	4663	4401
SAUSA300_RS09030	NC_007793.1	1820108	1820206	-	99	167	98	263	380	467	438
SAUSA300_RS09035	NC_007793.1	1820330	1821448	-	1119	2540	1338	5127	4733	4611	4169
SAUSA300_RS09040	NC_007793.1	1821589	1822089	+	501	4702	3887	16037	17824	22177	23059
SAUSA300_RS09045	NC_007793.1	1822335	1823537	-	1203	14973	9199	18560	9542	8562	9719
SAUSA300_RS09050	NC_007793.1	1823625	1824572	-	948	3303	1745	3152	4606	3637	4166
SAUSA300_RS09055	NC_007793.1	1824695	1825189	-	495	4100	2370	4852	27192	24829	27073
SAUSA300_RS09060	NC_007793.1	1825287	1826057	-	771	1969	1007	2057	273	236	325
SAUSA300_RS09065	NC_007793.1	1826101	1827324	-	1224	3257	1643	3583	537	481	559
SAUSA300_RS09070	NC_007793.1	1827324	1828472	-	1149	2522	1361	2444	390	278	279
SAUSA300_RS09075	NC_007793.1	1828621	1828761	+	141	134	72	164	55	53	49
SAUSA300_RS09080	NC_007793.1	1828835	1830529	-	1695	12887	8134	18619	6642	7542	6917
SAUSA300_RS09085	NC_007793.1	1830666	1831130	+	465	589	331	724	1449	1257	1500
SAUSA300_RS09090	NC_007793.1	1831374	1831976	+	603	65369	37911	102740	4248	3476	4055
SAUSA300_RS09100	NC_007793.1	1832192	1832935	-	744	301	158	343	332	344	275
SAUSA300_RS09105	NC_007793.1	1833015	1833461	+	447	465	291	654	2770	2356	2765
SAUSA300_RS09110	NC_007793.1	1833575	1834735	+	1161	789	572	1234	1197	1017	1089
SAUSA300_RS09115	NC_007793.1	1834722	1836326	+	1605	1322	850	1428	1129	948	950
SAUSA300_RS09120	NC_007793.1	1836420	1836515	+	96	29	16	33	22	18	29
SAUSA300_RS09125	NC_007793.1	1836476	1837606	-	1131	1918	1138	2131	1080	978	971
SAUSA300_RS09130	NC_007793.1	1837713	1839179	-	1467	3948	2409	4414	614	576	505
SAUSA300_RS09135	NC_007793.1	1839307	1839924	-	618	1356	883	1719	181	119	131
SAUSA300_RS09140	NC_007793.1	1840096	1841370	+	1275	2060	1272	1821	1196	1052	912
SAUSA300_RS09145	NC_007793.1	1841464	1842726	-	1263	2351	1492	2553	490	479	379
SAUSA300_RS09150	NC_007793.1	1843108	1844013	+	906	836	493	1219	341	274	256
SAUSA300_RS09155	NC_007793.1	1843993	1844085	-	93	1	1	0	1	0	0
SAUSA300_RS09160	NC_007793.1	1844216	1846903	-	2688	17230	9133	21863	3609	2710	2971
SAUSA300_RS09165	NC_007793.1	1847198	1848865	-	1668	11147	5967	8694	24625	21109	23041
SAUSA300_RS09170	NC_007793.1	1849305	1851011	-	1707	710	414	1554	6760	6961	5923
SAUSA300_RS09175	NC_007793.1	1851180	1851812	+	633	344	189	816	392	410	406
SAUSA300_RS09180	NC_007793.1	1851837	1853006	+	1170	551	320	1106	849	800	712
SAUSA300_RS09185	NC_007793.1	1853104	1854093	-	990	4253	2669	5244	13694	12567	12936
SAUSA300_RS09190	NC_007793.1	1854166	1854279	-	114	8	6	3	3	0	3
SAUSA300_RS09195	NC_007793.1	1854633	1855724	-	1092	5288	3043	7306	2704	2409	2569
SAUSA300_RS09200	NC_007793.1	1856185	1856289	-	105	37	13	38	34	26	15
SAUSA300_RS09205	NC_007793.1	1856424	1857623	-	1200	5232	3549	6850	14362	16090	13400
SAUSA300_RS09210	NC_007793.1	1857697	1858188	-	492	10161	6374	17896	22868	25149	20918
SAUSA300_RS09215	NC_007793.1	1858262	1859575	-	1314	13272	7990	16477	7364	6742	7196
SAUSA300_RS09220	NC_007793.1	1859599	1863423	-	3825	24411	13880	25643	10836	9780	9115
SAUSA300_RS09225	NC_007793.1	1863444	1864040	-	597	2598	1362	2549	1099	952	868
SAUSA300_RS09230	NC_007793.1	1864069	1864926	-	858	3273	1645	3025	989	824	723
SAUSA300_RS09235	NC_007793.1	1865026	1865337	-	312	979	593	1487	3352	3394	3452
SAUSA300_RS09240	NC_007793.1	1865402	1866478	-	1077	2362	1432	3651	6698	6464	7211
SAUSA300_RS09245	NC_007793.1	1866565	1866876	+	312	2038	1217	3280	2588	2597	3214
SAUSA300_RS09250	NC_007793.1	1867001	1867843	-	843	1341	784	1878	2144	1842	2060
SAUSA300_RS09255	NC_007793.1	1868313	1868957	-	645	14548	8922	17919	3793	3590	3994
SAUSA300_RS09260	NC_007793.1	1868972	1869763	-	792	19873	11621	23576	4996	4396	4926
SAUSA300_RS09265	NC_007793.1	1870313	1871161	-	849	5806	3327	6198	2507	2090	2100
SAUSA300_RS09270	NC_007793.1	1871165	1872574	-	1410	7357	4284	8506	1885	1457	1333
SAUSA300_RS09275	NC_007793.1	1873324	1873746	-	423	3067	1829	3977	4598	4676	3732
SAUSA300_RS09280	NC_007793.1	1873763	1874458	-	696	4099	2385	4675	1999	1757	1790
SAUSA300_RS09285	NC_007793.1	1874455	1876116	-	1662	5620	3142	7566	2259	1905	2010
SAUSA300_RS09290	NC_007793.1	1876523	1877791	+	1269	2396	1475	3488	553	402	409
SAUSA300_RS09295	NC_007793.1	1877908	1884468	-	6561	1435	784	2163	816	579	669
